id,plant_id,account_type,is_active,plant_name,year,market_price_min,market_price_max,unit,size,est_price,source
1,PLTA0001,A,1,กรรณิการ์,2568,80,200,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
2,PLTA0002,A,1,กระบก,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
3,PLTA0003,A,1,กระบาก,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
4,PLTA0004,A,1,กระดังงา,2568,150,600,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
5,PLTA0005,A,1,กระโดน,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
6,PLTA0006,A,1,กระเบา,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
7,PLTA0007,A,1,กระถิน,2568,20,80,บาท/ต้น,S,20,ร้านขายต้นไม้ (ราคาขายปลีก)
8,PLTA0008,A,1,กระถินณรงค์,2568,50,200,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
9,PLTA0009,A,1,กระถินเทพา,2568,30,120,บาท/ต้น,S,30,ร้านขายต้นไม้ (ราคาขายปลีก)
10,PLTA0010,A,1,กระถินยักษ์,2568,30,120,บาท/ต้น,S,30,ร้านขายต้นไม้ (ราคาขายปลีก)
11,PLTA0011,A,1,กระท้อนทั่วไป,2568,200,800,บาท/ต้น,S,200,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
12,PLTA0012,A,1,กระท้อนพันธุ์ดี,2568,500,2000,บาท/ต้น,S,500,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
13,PLTA0013,A,1,กระท่อม ก. อายุไม่เกิน 2 ปี,2568,300,800,บาท/ต้น,S,300,สศก. (ราคาเกษตรกร)
14,PLTA0013,A,1,กระท่อม ข. อายุเกิน 2 ปีแต่ไม่เกิน 3 ปี,2568,400,1000,บาท/ต้น,S,400,สศก. (ราคาเกษตรกร)
15,PLTA0013,A,1,กระท่อม ค. อายุเกิน 3 ปีขึ้นไป,2568,800,2000,บาท/ต้น,S,–,สศก. (ราคาเกษตรกร)
16,PLTA0014,A,1,กระทิง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
17,PLTA0015,A,1,กระทุ่ม กระทุ่มทอง,2568,50,200,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
18,PLTA0016,A,1,กระบือ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
19,PLTA0017,A,1,กระพี้จั่น,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
20,PLTA0018,A,1,กร่าง,2568,80,300,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
21,PLTA0019,A,1,กฤษณา,2568,500,3000,บาท/ต้น,S,500,ร้านขายต้นไม้ / กรมป่าไม้ (ราคาขายปลีก)
22,PLTA0020,A,1,กล้วยพันธุ์ดี,2568,500,1500,บาท/กอ,S,500,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
23,PLTA0020,A,1,กล้วยพันธุ์ดี,2568,100,400,บาท/ต้น,S,100,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
24,PLTA0021,A,1,กล้วยพันธุ์ทั่วไป,2568,300,1000,บาท/กอ,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
25,PLTA0021,A,1,กล้วยพันธุ์ทั่วไป,2568,80,300,บาท/ต้น,S,80,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
26,PLTA0022,A,1,กล้วยพัด,2568,500,2000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
27,PLTA0023,A,1,ก่อ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
28,PLTA0024,A,1,กะทัง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
29,PLTA0025,A,1,กันเกรา ต้นเลา ทำเสา มันปลา,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
30,PLTA0026,A,1,กัลปพฤกษ์,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
31,PLTA0027,A,1,กานพูล,2568,100,300,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
32,PLTA0028,A,1,กาแฟ,2568,200,600,บาท/ต้น,S,200,สศก. (ราคาเกษตรกร)
33,PLTA0029,A,1,การบูร,2568,50,200,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
34,PLTA0030,A,1,การเวก,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
35,PLTA0031,A,1,กาหลง,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
36,PLTA0032,A,1,กางหลวง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
37,PLTA0033,A,1,กุ่ม,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
38,PLTA0034,A,1,เกษมณี,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
39,PLTA0035,A,1,แก่นขี้หนู,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
40,PLTA0036,A,1,แก้ว,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
41,PLTA0037,A,1,โกโก้,2568,150,500,บาท/ต้น,S,150,สศก. (ราคาเกษตรกร)
42,PLTA0038,A,1,โกงกาง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
43,PLTA0039,A,1,โกสน,2568,100,300,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
44,PLTA0040,A,1,ขนุนพันธุ์ดี,2568,1000,4000,บาท/ต้น,S,"1,000",ตลาดไท / ตลาดต้นไม้ / ตลาดสี่มุมเมือง (ราคาขายส่ง)
45,PLTA0041,A,1,ขนุนพันธุ์พื้นเมือง,2568,800,3000,บาท/ต้น,S,800,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
46,PLTA0042,A,1,ขนุนละมุด,2568,100,400,บาท/ต้น,S,100,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
47,PLTA0043,A,1,ขนุนสำปะลอ,2568,300,1000,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
48,PLTA0044,A,1,ข่อย,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
49,PLTA0045,A,1,ข่อยดัด,2568,2000,8000,บาท/ต้น,S,"2,000",ร้านขายต้นไม้ / ตลาดสี่มุมเมือง (ราคาขายปลีก)
50,PLTA0046,A,1,ขี้เถ้า,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
51,PLTA0047,A,1,ขี้หนอน,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
52,PLTA0048,A,1,ขี้เหล็ก ทรงบาดาล,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
53,PLTA0049,A,1,ขี้เหล็กใหญ่,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
54,PLTA0050,A,1,เข็มปัตตาเวีย,2568,80,300,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
55,PLTA0051,A,1,เข็มสามสี,2568,50,150,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
56,PLTA0052,A,1,เขวา,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
57,PLTA0053,A,1,เขี้ยวกระแต,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
58,PLTA0054,A,1,ไข่เน่า,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
59,PLTA0055,A,1,คริสต์มาส,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
60,PLTA0056,A,1,คริสติน่า,2568,80,200,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
61,PLTA0057,A,1,ควินิน,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
62,PLTA0058,A,1,ค้อ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
63,PLTA0059,A,1,คอแลน ลิ้นจี่ป่า หมักแวว มะแง้ว,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
64,PLTA0060,A,1,คัดเค้า,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
65,PLTA0061,A,1,คันสูง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
66,PLTA0062,A,1,คาง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
67,PLTA0063,A,1,คูณ ราชพฤกษ์,2568,300,1500,บาท/ต้น,S,300,ตลาดสี่มุมเมือง / ร้านขายต้นไม้ (ราคาขายปลีก)
68,PLTA0064,A,1,แค (แคบ้าน),2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
69,PLTA0065,A,1,แคแสด,2568,500,3000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
70,PLTA0066,A,1,แคทราย แคป่า แคนา,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
71,PLTA0067,A,1,แคฝรั่ง,2568,300,1000,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
72,PLTA0068,A,1,ง้าว,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
73,PLTA0069,A,1,งิ้ว (นุ่น),2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
74,PLTA0070,A,1,เงาะพันธุ์ดี ก. ขนาดเล็ก สูงไม่ถึง 2 เมตร,2568,500,1500,บาท/ต้น,S,500,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
75,PLTA0070,A,1,เงาะพันธุ์ดี ข. ขนาดกลาง สูงตั้งแต่ 2 เมตรขึ้นไป,2568,1500,4000,บาท/ต้น,S,–,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
76,PLTA0070,A,1,เงาะพันธุ์ดี ค. ขนาดใหญ่ มีผลแล้ว,2568,5000,10000,บาท/ต้น,S,–,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
77,PLTA0071,A,1,เงาะพันธุ์พื้นเมือง,2568,400,1500,บาท/ต้น,S,400,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
78,PLTA0072,A,1,จวง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
79,PLTA0073,A,0,จั๋ง จั๋งไทย จั๋งจีน,2568,80,250,บาท/กอ,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
